,count,count
342,"['coverlet, summer and winter']",2
343,['harps (chordophones)'],2
344,"['spinning wheel, flax']",2
345,['clarinets'],2
346,['english guitar'],2
347,"['token, commemorative', 'token, commemorative, lace']",2
348,"[""viola d'amore""]",2
349,['fifes'],2
350,['drum head'],2
351,"['quilts', ""cribs (children's beds)""]",2
352,['ribbon (material)'],2
353,['oboes'],2
354,['saucers (plates)'],2
355,"['figurines', 'figurine, animal']",2
356,"['plate, soup']",2
357,"['muskets', 'musket, flintlock', 'musket; firearms; caliber .72; center fire']",2
358,['book pages'],2
359,"['currency, continental, counterfeit', 'note']",2
360,"['correspondence', 'manuscripts']",2
361,"['counterpanes', 'quilts']",2
362,['pans (containers)'],2
363,"['hanging, printed']",2
364,['vases'],2
365,['desks'],2
366,['cane (plant material)'],2
367,['pennants'],2
368,['medallions (medals)'],2
369,['sheet music'],2
370,"['bottle, nursing']",2
371,"['plate', 'pans (containers)']",2
372,"['petticoats (underskirts)', 'props']",2
373,['quilt block'],2
374,['decanters'],2
375,['sugar bowls'],2
376,['broadsides (notices)'],2
377,['cord (fiber product)'],2
378,['retablos (panel paintings)'],2
379,['cello'],2
380,"['latino, puerto rican, religious', 'santo']",2
381,"['stamp, butter mold']",2
382,['matchbook'],2
383,"['bed coverings', 'coverlets']",2
384,['flagon'],2
385,"['shaker', 'casters (vessels)']",2
386,"['bowl, waste']",2
387,"['cooler, wine']",2
388,"['pot, mustard']",2
389,"['flatware', 'sugar tongs', 'tongs']",2
390,['skewers'],2
391,"['flatware', 'spurs (costume accessories)']",2
392,['snuffers and tray'],2
393,['salt (inorganic material)'],2
394,['inkstands'],2
395,['calendar medal'],2
396,['cann'],2
397,"['candleholder', 'candleholders']",2
398,['backstaff'],2
399,['highchair'],2
400,['graters'],2
401,"['chair, side', 'chair; side']",2
402,"['pan, frying']",2
403,"['chair, side', 'chair; furniture; side; shield back, open']",2
404,"['chair; furniture; side; ladder back', 'chairs (furniture forms)']",2
405,"['drawing; pictures; pen and ink', 'drawings']",2
406,"['paintings', 'painting; pictures; watercolor']",2
407,"['paintings', 'painting; pictures; oil on canvas; portrait']",2
408,"['wood engraving', 'block, printing']",2
409,['punch'],2
